德芙,好时,费列罗,Meiji,歌帝梵,牛奶巧克力,夹心巧克力,黑巧克力,榛果,价格,销量,销量等级
0,0,0,0,0,0,0,1,0,19.9,50000.0,5级销量
0,1,0,0,0,1,0,0,0,86.9,50000.0,5级销量
0,0,0,0,0,1,0,0,0,39.9,2000.0,1级销量
0,0,0,0,0,1,0,1,0,26.9,1000.0,1级销量
0,0,0,0,0,0,0,0,0,149.0,50000.0,5级销量
0,0,0,0,0,0,0,0,0,19.9,200.0,1级销量
0,0,0,0,0,0,0,1,0,85.0,2000.0,1级销量
1,0,0,0,0,1,0,0,0,59.0,10000.0,2级销量
0,0,0,0,0,0,0,0,0,158.0,5000.0,2级销量
0,0,0,0,0,0,0,1,0,12.5,500.0,1级销量
0,0,0,1,0,1,0,0,0,15.0,10000.0,2级销量
0,0,0,0,0,0,0,0,0,118.0,20000.0,3级销量
0,0,0,0,0,0,0,0,0,69.9,20000.0,3级销量
0,0,0,0,0,0,0,0,1,178.0,20000.0,3级销量
0,1,0,0,0,1,0,0,0,49.9,50000.0,5级销量
1,0,0,0,0,0,0,0,0,89.0,50000.0,5级销量
0,0,0,0,0,0,0,1,0,14.9,20000.0,3级销量
0,0,0,0,0,0,0,0,0,68.0,10000.0,2级销量
0,0,1,0,0,0,0,0,0,136.0,50000.0,5级销量
0,0,0,0,0,0,0,1,0,19.9,50000.0,5级销量
0,0,1,0,0,0,0,0,1,39.0,50000.0,5级销量
0,0,0,0,0,0,0,1,0,19.9,10000.0,2级销量
0,0,0,0,0,0,0,1,0,69.0,50000.0,5级销量
0,0,1,0,0,0,0,0,1,110.9,50000.0,5级销量
0,0,0,1,0,1,0,1,0,60.0,2000.0,1级销量
0,0,1,0,0,0,0,0,0,129.8,50000.0,5级销量
0,0,0,0,0,0,0,1,0,116.16,10000.0,2级销量
0,0,1,0,0,0,0,0,1,128.0,50000.0,5级销量
0,0,0,0,0,0,0,0,0,69.0,50000.0,5级销量
0,0,0,0,0,0,1,0,0,39.9,2000.0,1级销量
0,0,0,0,0,0,0,0,0,129.0,50000.0,5级销量
0,1,0,0,0,0,0,0,0,7.8,50000.0,5级销量
0,0,0,0,0,0,0,0,0,118.0,20000.0,3级销量
0,0,0,0,0,1,0,0,0,48.0,50000.0,5级销量
0,0,0,0,0,0,0,1,0,19.9,500.0,1级销量
0,0,0,0,0,0,0,1,0,129.0,50000.0,5级销量
1,0,0,0,0,0,0,0,0,128.0,500.0,1级销量
0,0,0,0,0,0,0,1,0,78.0,500.0,1级销量
0,0,0,0,0,0,1,0,0,33.9,500.0,1级销量
0,0,0,0,0,0,0,1,0,58.6,20000.0,3级销量
1,0,0,0,0,0,0,0,0,29.9,20000.0,3级销量
0,0,0,0,0,1,0,0,0,49.9,50000.0,5级销量
0,0,1,0,0,0,0,0,0,26.9,50000.0,5级销量
0,0,0,0,0,0,0,1,0,25.8,50000.0,5级销量
0,1,0,0,0,0,0,0,0,39.9,1000.0,1级销量
0,0,0,0,0,0,0,1,0,12.5,500.0,1级销量
0,1,0,0,0,0,0,0,0,79.9,50000.0,5级销量
0,0,0,1,0,0,1,0,0,32.0,1000.0,1级销量
