,KO
1995-04-28,0.031042
1995-05-31,0.060215
1995-06-30,0.038053
1995-07-31,0.029412
1995-08-31,-0.020952
1995-09-29,0.077354
1995-10-31,0.041667
1995-11-30,0.056974
1995-12-29,-0.019802
1996-01-31,0.015152
1996-02-29,0.07131
1996-03-29,0.027864
1996-04-30,-0.015106
1996-05-31,0.128834
1996-06-28,0.067935
1996-07-31,-0.043367
1996-08-30,0.072
1996-09-30,0.014925
1996-10-31,-0.007371
1996-11-29,0.014851
1996-12-31,0.02934
1997-01-31,0.099762
1997-02-28,0.053996
1997-03-31,-0.08377
1997-04-30,0.141256
1997-05-30,0.076621
1997-06-30,-0.005255
1997-07-31,0.016544
1997-08-29,-0.170886
1997-09-30,0.066783
1997-10-31,-0.071721
1997-11-28,0.106225
1997-12-31,0.067
1998-01-30,-0.029053
1998-02-27,0.059846
1998-03-31,0.130601
1998-04-30,-0.020178
1998-05-29,0.032949
1998-06-30,0.092823
1998-07-31,-0.05848
1998-08-31,-0.190994
1998-09-30,-0.11286
1998-10-30,0.172451
1998-11-30,0.039223
1998-12-31,-0.043711
1999-01-29,-0.025187
1999-02-26,-0.02201
1999-03-31,-0.036634
1999-04-30,0.108961
1999-05-28,0.006428
1999-06-30,-0.092555
1999-07-30,-0.023185
1999-08-31,-0.012384
1999-09-30,-0.190637
1999-10-29,0.222798
1999-11-30,0.141483
1999-12-31,-0.133023
2000-01-31,-0.013948
2000-02-29,-0.153428
2000-03-31,-0.031208
2000-04-28,0.006658
2000-05-31,0.12963
2000-06-30,0.079297
2000-07-31,0.067465
2000-08-31,-0.141692
2000-09-29,0.050736
2000-10-31,0.095238
2000-11-30,0.040083
2000-12-29,-0.026946
2001-01-31,-0.048205
2001-02-28,-0.08569
2001-03-30,-0.145012
2001-04-30,0.022808
2001-05-31,0.026196
2001-06-29,-0.046835
2001-07-31,-0.008889
2001-08-31,0.091256
2001-09-28,-0.033696
2001-10-31,0.021985
2001-11-30,-0.015455
2001-12-31,0.004046
2002-01-31,-0.07211
2002-02-28,0.0832
2002-03-28,0.106985
2002-04-30,0.062189
2002-05-31,0.000901
2002-06-28,0.011519
2002-07-31,-0.108214
2002-08-30,0.021225
2002-09-30,-0.055686
2002-10-31,-0.030859
2002-11-29,-0.013769
2002-12-31,-0.039439
2003-01-31,-0.077099
2003-02-28,-0.005932
2003-03-31,0.011934
2003-04-30,-0.001976
2003-05-30,0.12797
2003-06-30,0.023261
2003-07-31,-0.031028
2003-08-29,-0.032244
2003-09-30,-0.007813
2003-10-31,0.080075
2003-11-28,0.006897
2003-12-31,0.091398
2004-01-30,-0.029754
2004-02-27,0.014622
2004-03-31,0.011809
2004-04-30,0.005368
2004-05-28,0.015424
2004-06-30,-0.012074
2004-07-30,-0.131141
2004-08-31,0.01938
2004-09-30,-0.098636
2004-10-29,0.015231
2004-11-30,-0.027054
2004-12-31,0.059272
2005-01-31,-0.003602
2005-02-28,0.031574
2005-03-31,-0.01986
2005-04-29,0.042477
2005-05-31,0.027394
2005-06-30,-0.058257
2005-07-29,0.048144
2005-08-31,0.005484
2005-09-30,-0.012045
2005-10-31,-0.009493
2005-11-30,0.004441
2005-12-30,-0.055751
2006-01-31,0.026544
2006-02-28,0.014258
2006-03-31,0.005004
2006-04-28,0.00215
2006-05-31,0.049333
2006-06-30,-0.015898
2006-07-31,0.034403
2006-08-31,0.006966
2006-09-29,0.004017
2006-10-31,0.045658
2006-11-30,0.00899
2006-12-29,0.030322
2007-01-31,-0.007668
2007-02-28,-0.025063
2007-03-30,0.035561
2007-04-30,0.087292
2007-05-31,0.015329
2007-06-29,-0.006416
2007-07-31,-0.003823
2007-08-31,0.032048
2007-09-28,0.074935
2007-10-31,0.074648
2007-11-30,0.01101
2007-12-31,-0.011755
2008-01-31,-0.038618
2008-02-29,-0.009153
2008-03-31,0.047725
2008-04-30,-0.032857
2008-05-30,-0.027348
2008-06-30,-0.085575
2008-07-31,-0.009234
2008-08-29,0.011068
2008-09-30,0.022854
2008-10-31,-0.166793
2008-11-28,0.072401
2008-12-31,-0.034137
2009-01-30,-0.056329
2009-02-27,-0.043773
2009-03-31,0.085924
2009-04-30,-0.020478
2009-05-29,0.141928
2009-06-30,-0.01546
2009-07-31,0.03855
2009-08-31,-0.021469
2009-09-30,0.109494
2009-10-30,-0.007263
2009-11-30,0.08066
2009-12-31,-0.003497
2010-01-29,-0.048246
2010-02-26,-0.028203
2010-03-31,0.051593
2010-04-30,-0.028182
2010-05-28,-0.038354
2010-06-30,-0.016342
2010-07-30,0.099561
2010-08-31,0.014017
2010-09-30,0.055071
2010-10-29,0.047847
2010-11-30,0.037345
2010-12-31,0.041159
2011-01-31,-0.044397
2011-02-28,0.017025
2011-03-31,0.045213
2011-04-29,0.016883
2011-05-31,-0.009635
2011-06-30,0.014219
2011-07-29,0.0107
2011-08-31,0.035877
2011-09-30,-0.034351
2011-10-31,0.011249
2011-11-30,-0.009075
2011-12-30,0.040756
